text,label
"Tension rises in South China sea, maritime warnings issued.",HIGH
Insignificant delay in processing quickly resolved without impact.,LOW
New export regulations on critical minerals announced by China.,CRITICAL
Scheduled maintenance at major terminal reduces capacity by 20%.,MEDIUM
Typhoon expected to hit Shenzhen ports within 24 hours.,HIGH
Normal operations reported across all major US east coast ports.,LOW
"Truckers protest fuel prices in France, slowing traffic.",MEDIUM
Category 3 cyclone hitting Bangladesh coastal regions.,HIGH
"Key auto parts supplier files for bankruptcy, halting assembly lines.",CRITICAL
"Data breach at logistics vendor under investigation, no operation halt yet.",MEDIUM
Truck driver shortage in the UK causing widespread delivery delays.,HIGH
New export regulations on critical minerals announced by China.,CRITICAL
Supplier in Mexico ramping up production to meet holiday demand.,LOW
Smooth customs processing reported at EU borders.,LOW
"System restored after brief cyber incident, no data lost.",LOW
No severe geopolitical events affecting supply chains today.,LOW
Air traffic control strike in Italy cancels cargo flights.,HIGH
Standard transit times maintained on trans-pacific routes.,LOW
Truck driver lack in the UK causing widespread delivery delays.,HIGH
Low water levels in the Panama Canal restricting daily transit volume.,MEDIUM
"Weather systems clear, allowing resumption of halted air freight.",LOW
Supplier in Mexico ramping up production to meet holiday demand.,LOW
"Houthi rebel attacks continue in Red Sea, premiums rise.",HIGH
"Severe cyber hack hits Maersk operations globally, paralyzing booking.",CRITICAL
Escalating conflict in the Red Sea leads to rerouting of all lines.,CRITICAL
Seasonal spike in demand straining local delivery networks.,MEDIUM
Heavy snowfall in Chicago holding up cargo flights by 12 hours.,MEDIUM
Regional port congestion in Shanghai increasing wait times by 5 days.,MEDIUM
Severe port stoppage averted at the last minute with new agreement.,LOW
Tornado damages key distribution hub in Midwest USA.,HIGH
"Suez canal blocked by grounded container ship, stalling 100+ vessels.",CRITICAL
Ice storm in Canada delaying cross-border trucking.,MEDIUM
Air traffic control strike in Italy cancels cargo flights.,HIGH
Routine software update deployed successfully across shipping network.,LOW
Ice storm in Canada delaying cross-border trucking.,MEDIUM
"Cyberattack targets major US logistics provider, causing regional slowdowns.",HIGH
Geopolitical tensions result in sudden new tariffs on tech imports.,HIGH
Typhoon expected to hit Shenzhen ports within 24 hours.,HIGH
"System restored after brief cyber incident, no data lost.",LOW
Geopolitical summit concludes with new trade agreements.,LOW
Rail workers in Canada on strike for the next 48 hours.,HIGH
"Truckers protest fuel prices in France, slowing traffic.",MEDIUM
"Border checks intensified, leading to minor delays at crossings.",MEDIUM
"Suez canal blocked by grounded container ship, delaying 100+ vessels.",CRITICAL
Large-scale port walkout averted at the last minute with new agreement.,LOW
Scheduled maintenance at severe terminal reduces capacity by 20%.,MEDIUM
Logistics providers operating at normal capacity globally.,LOW
Seasonal spike in demand straining local delivery networks.,MEDIUM
Port of Los Angeles workers threaten imminent strike over automated cranes.,CRITICAL
"Category 5 hurricane approaching Florida coast, forcing evacuations.",CRITICAL
Geopolitical tensions result in sudden new tariffs on tech imports.,HIGH
Standard transit times maintained on trans-pacific routes.,LOW
"Peace treaty signed, reopening crucial land trade routes.",LOW
"New automated terminal opens in Tuas, Singapore.",LOW
Ice storm in Canada slowing cross-border trucking.,MEDIUM
"Suez canal blocked by grounded container ship, delaying 100+ vessels.",CRITICAL
Semiconductor factory in Taiwan offline after 7.2 magnitude earthquake.,CRITICAL
"Category 5 hurricane approaching Florida coast, forcing evacuations.",CRITICAL
"Dockworkers in Melbourne agree to temporary terms, pausing stoppage",LOW
Flash floods in Southeast Asia submerge multiple tier-2 supplier factories.,CRITICAL
Rail workers in Canada on walkout for the next 48 hours.,HIGH
Regional port congestion in Shanghai increasing wait times by 5 days.,MEDIUM
"Piracy incident reported near the Horn of Africa, vessel safe.",MEDIUM
Supplier factory in Vietnam pauses production for 2 days due to materials.,MEDIUM
"Peace treaty signed, reopening crucial land trade routes.",LOW
Minor delay in processing quickly resolved without impact.,LOW
No severe geopolitical events affecting supply chains today.,LOW
Ransomware attack disables European rail freight network.,CRITICAL
Vessels moving smoothly through the English Channel.,LOW
Railway bridge repair in India causing detours for freight trains.,MEDIUM
"Houthi rebel attacks continue in Red Sea, premiums rise.",HIGH
Typhoon expected to hit Shenzhen ports within 24 hours.,HIGH
Category 3 cyclone hitting Bangladesh coastal regions.,HIGH
"Data breach at logistics vendor under investigation, no operation halt yet.",MEDIUM
Geopolitical summit concludes with new trade agreements.,LOW
Supplier factory in Vietnam pauses production for 2 days due to materials.,MEDIUM
"Piracy incident reported near the Horn of Africa, vessel safe.",MEDIUM
Slight IT glitch briefly halts customs processing at JFK airport.,MEDIUM
Flash floods in Southeast Asia submerge multiple tier-2 supplier factories.,CRITICAL
Supply chain operating stably with adequate capacity.,LOW
Wildfires in California forcing closure of key freight highways.,HIGH
Railway bridge repair in India causing detours for freight trains.,MEDIUM
Supply chain operating stably with adequate capacity.,LOW
Labor contract negotiations proceeding amicably.,LOW
"Border checks intensified, leading to minor delays at crossings.",MEDIUM
Supplier factory in Vietnam pauses production for 2 days due to materials.,MEDIUM
"System restored after brief cyber incident, no data lost.",LOW
Labor union at Port of Rotterdam announces a 3-day walkout next week.,HIGH
Flash floods in Southeast Asia submerge multiple tier-2 supplier factories.,CRITICAL
Clear weather and standard operations at Port of Singapore.,LOW
"Cyberattack targets major US logistics provider, causing regional slowdowns.",HIGH
Minor IT glitch briefly halts customs processing at JFK airport.,MEDIUM
Stricter emission standards cause border delays for older trucks.,MEDIUM
Global supply chain resilience index reaches all-time high.,LOW
Category 3 cyclone hitting Bangladesh coastal regions.,HIGH
"Tension rises in South China sea, maritime warnings issued.",HIGH
"Data breach at logistics vendor under investigation, no operation halt yet.",MEDIUM
Vessels moving smoothly through the English Channel.,LOW
Labor union at Port of Rotterdam announces a 3-day walkout next week.,HIGH
Ransomware hack disables European rail freight network.,CRITICAL
Geopolitical summit concludes with new trade agreements.,LOW
Port of Los Angeles workers threaten imminent walkout over automated cranes.,CRITICAL
"New automated terminal opens in Tuas, Singapore.",LOW
No major geopolitical events affecting supply chains today.,LOW
Semiconductor factory in Taiwan offline after 7.2 magnitude earthquake.,CRITICAL
Routine software update deployed successfully across shipping network.,LOW
Heavy snowfall in Chicago delaying cargo flights by 12 hours.,MEDIUM
Localized power outage affects warehousing operations in Texas.,MEDIUM
"Major cyber attack hits Maersk operations globally, paralyzing booking.",CRITICAL
Escalating tension in the Red Sea leads to rerouting of all lines.,CRITICAL
Major port strike averted at the last minute with new agreement.,LOW
Wildfires in California forcing closure of key freight highways.,HIGH
Global supply chain resilience index reaches all-time high.,LOW
Geopolitical tensions result in sudden new tariffs on tech imports.,HIGH
Ransomware attack disables European rail freight network.,CRITICAL
Localized power outage affects warehousing operations in Texas.,MEDIUM
Customs system upgrade in Brazil causing slow clearances.,MEDIUM
"Truckers protest fuel prices in France, slowing traffic.",MEDIUM
Global supply chain resilience index reaches all-time high.,LOW
"Dockworkers in Melbourne agree to temporary terms, pausing strike.",LOW
Low water levels in the Panama Canal restricting daily transit volume.,MEDIUM
"Cyberattack targets major US logistics provider, causing regional slowdowns.",HIGH
"Key auto parts supplier files for bankruptcy, halting assembly lines.",CRITICAL
Scheduled maintenance at major terminal reduces capacity by 20%.,MEDIUM
Labor contract negotiations proceeding amicably.,LOW
Railway bridge repair in India causing detours for freight trains.,MEDIUM
Localized power outage affects warehousing operations in Texas.,MEDIUM
Stricter emission standards cause border delays for older trucks.,MEDIUM
Escalating conflict in the Red Sea leads to rerouting of all lines.,CRITICAL
Customs system upgrade in Brazil causing slow clearances.,MEDIUM
Rail workers in Canada on strike for the next 48 hours.,HIGH
Smooth customs processing reported at EU borders.,LOW
Labor union at Port of Rotterdam announces a 3-day walkout next week.,HIGH
"Weather systems clear, allowing resumption of halted air freight.",LOW
"Peace treaty signed, reopening crucial land trade routes.",LOW
Vessels moving smoothly through the English Channel.,LOW
"New automated terminal opens in Tuas, Singapore.",LOW
"Dockworkers in Melbourne agree to temporary terms, pausing protest",LOW
Seasonal spike in demand straining local delivery networks.,MEDIUM
"Piracy incident reported near the Horn of Africa, vessel safe.",MEDIUM
DDoS breach takes down regional port authority website.,MEDIUM
Regional port congestion in Shanghai increasing wait times by 5 days.,MEDIUM
Minor delay in processing quickly resolved without impact.,LOW
Heavy snowfall in Chicago slowing cargo flights by 12 hours.,MEDIUM
Wildfires in California forcing closure of key freight highways.,HIGH
Severe flooding in Germany disrupting inland waterway transport.,HIGH
Supplier in Mexico ramping up production to meet holiday demand.,LOW
Tornado damages key distribution hub in Midwest USA.,HIGH
Port of Los Angeles workers threaten imminent strike over automated cranes.,CRITICAL
Clear weather and standard operations at Port of Singapore.,LOW
Truck driver shortage in the UK causing widespread delivery delays.,HIGH
Logistics providers operating at normal capacity globally.,LOW
Normal operations reported across all major US east coast ports.,LOW
Severe flooding in Germany disrupting inland waterway transport.,HIGH
"Weather systems clear, allowing resumption of halted air freight.",LOW
"Houthi rebel attacks continue in Red Sea, premiums rise.",HIGH
Logistics providers operating at normal capacity globally.,LOW
Insignificant IT glitch briefly halts customs processing at JFK airport.,MEDIUM
"Key auto parts supplier files for bankruptcy, halting assembly lines.",CRITICAL
Low water levels in the Panama Canal restricting daily transit volume.,MEDIUM
New export regulations on critical minerals announced by China.,CRITICAL
Semiconductor factory in Taiwan offline after 7.2 magnitude earthquake.,CRITICAL
"Border checks intensified, leading to small delays at crossings.",MEDIUM
"Tension rises in South China sea, maritime warnings issued.",HIGH
Labor contract negotiations proceeding amicably.,LOW
"Category 5 hurricane approaching Florida coast, forcing evacuations.",CRITICAL
Clear weather and standard operations at Port of Singapore.,LOW
Smooth customs processing reported at EU borders.,LOW
Supply chain operating stably with adequate capacity.,LOW
Stricter emission standards cause border delays for older trucks.,MEDIUM
DDoS attack takes down regional port authority website.,MEDIUM
"Severe cyber hack hits Maersk operations globally, paralyzing booking.",CRITICAL
Air traffic control strike in Italy cancels cargo flights.,HIGH
Tornado damages key distribution hub in Midwest USA.,HIGH
Customs system upgrade in Brazil causing slow clearances.,MEDIUM
DDoS breach takes down regional port authority website.,MEDIUM
Normal operations reported across all major US east coast ports.,LOW
Routine software update deployed successfully across shipping network.,LOW
Severe flooding in Germany disrupting inland waterway transport.,HIGH
Standard transit times maintained on trans-pacific routes.,LOW
